,ind,name,review,lda,lda-result-cosine,lda-result-euclide
590,16556.0,Swing Star, 구우 우우 우우 우우 우우 우우 우우 웃,"[0.101949275, 0.18065934, 0.13835086, 0.09526428, 0.18469436, 0.17164488, 0.12743701]","('Angry Birds Classic',)","('Angry Birds Classic',)"
591,16850.0,Tank Stars, 오류가 너무 많고요 광고도 너무 많아요... 보상으로 상자를 주는데 솔직히 광고 보고 까는 건 점 아닌 것 같아요.... 한판 끝날 때 미다 광고 보고.. 그래도 이건 참을 만해요 근데! 오류가 너무 많아요 예를 들어 갑자기 튕긴다든지 아니면 갑자기 화면이 멈춘다든지 이것만 개선해주시면 더 재미있는 게임이 될 것 같아요,"[0.10811515, 0.15116194, 0.16694261, 0.10102554, 0.19587857, 0.16194777, 0.11492843]","(""Assassin's Creed Rebellion"",)","(""Assassin's Creed Rebellion"",)"
592,16851.0,Tank Stars, 많이 재미있어요. ㅎㅎ,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","(""Assassin's Creed Rebellion"",)","(""Assassin's Creed Rebellion"",)"
593,16852.0,Tank Stars, 캐시 결제 완료 떴는데 게임에 머니랑 아이템 안 들어왔음요,"[0.10748967, 0.16637038, 0.16343655, 0.10019023, 0.19016482, 0.15848714, 0.11386125]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
594,16853.0,Tank Stars, 재밌긴 한데 광고 좀 제발 줄여주세요 너무 광고 많이 떠요ㅠㅠ,"[0.09821141, 0.13730207, 0.16983104, 0.091771685, 0.25138232, 0.14710392, 0.10439754]","('Civilization Revolution 2',)","('Civilization Revolution 2',)"
595,16854.0,Tank Stars, 재미있는데 업데이트 후 렉이 좀 걸리네요 그래도 재미있어요^^,"[0.103913754, 0.14528722, 0.19931719, 0.09709968, 0.18826595, 0.15565407, 0.11046215]","('Angry Birds Classic',)","('Angry Birds Classic',)"
596,16855.0,Tank Stars, 최악이란 인간 내가 그 집 가서 그 인간 없앤다. 어!는 뻥,"[0.10448693, 0.14465447, 0.1410228, 0.097684845, 0.18735345, 0.15551725, 0.16928023]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
597,16856.0,Tank Stars, 앙세나 띠니는 네가 못하는 거,"[0.10499634, 0.14504035, 0.14876509, 0.098245874, 0.18937767, 0.16177791, 0.15179676]","('Angry Birds Rio',)","('Angry Birds Rio',)"
598,16857.0,Tank Stars, 와 넘나 재미있는 걸요 해보세요님덜ㄷㄷ,"[0.10370519, 0.14077032, 0.19588004, 0.09705675, 0.2009861, 0.15238003, 0.10922158]","('Angry Birds Rio',)","('Angry Birds Rio',)"
599,16858.0,Tank Stars, 조작도 간단하고 조준 계심 좋아하는데 정말 재미있게 플레이하고 있습니다♥,"[0.10724368, 0.14690875, 0.14388792, 0.10031863, 0.1901726, 0.198193, 0.11327541]","('Angry Birds Classic',)","('Angry Birds Classic',)"
600,16859.0,Tank Stars, 재미있긴 한데 들어갔는데 메뉴 화면이 안뜸 탱크 만음 이거 진짜 다 격음,"[0.11159221, 0.18569846, 0.14639473, 0.08861815, 0.20716126, 0.14200678, 0.11852839]","('Civilization Revolution 2',)","('Civilization Revolution 2',)"
601,17280.0,Terraria, 샌드박스? 웃기지 마라 그래 인정은 한다 마인크래프트 정말 자유도 높은 게임이지 하지만 마크에 자유와 테라 리비아의 자유는 아주 다른 개념이다. 그러니 마크와 비교하지 마라! 각자 다른 방향으로 진화된 게임일 뿐이다,"[0.16320597, 0.14463067, 0.14099295, 0.09765759, 0.18732347, 0.15548512, 0.11070423]","('Civilization Revolution 2',)","('Civilization Revolution 2',)"
602,17281.0,Terraria, 님들 맵 같은 건 복구 못해요 님들 휴대폰에 있는 파일을 어떻게 복구합니까. 곧 1.3 때 505게임즈가 아닌 따른 업체가 만든다니 오류도 줄을 테니 좀만 참으세요. 파일 날아가는 건 테라리아 맵에 들어가 있는데 배터리가 꺼지면 그러더라고요. 배터리 꺼지지 않게 잘 관리하세요,"[0.09671874, 0.17168151, 0.15305905, 0.09661096, 0.21416014, 0.16384307, 0.10392652]","('Bloons TD 5',)","('Bloons TD 5',)"
603,17282.0,Terraria,"너무 좋아요!!(I like it a lot!!) 너무~재미있어요! 진심으로 인생게임입니다. 이제는 다 키워서 업데이트만 기다리네요.. 다음 업데이트! 기다려져요! 더 재미있고, 흥미로운 '테라리아'를 만들어 주세요.^^(Truly life too - fun! games. Wait for updates and over it now. Looking forward to it! update ^^, please make 'teraria' more enjoyable and interesting.)","[0.11243435, 0.15224048, 0.14986463, 0.10524236, 0.19696039, 0.16493668, 0.11832113]","(""Assassin's Creed Rebellion"",)","(""Assassin's Creed Rebellion"",)"
604,17283.0,Terraria, 아...... 이 게임은 다 좋은데 게임을 켜 둔 채로 다른 일을 하다가 배터리가 없어서 꺼지게 되면 망합니다. 새로운 버전의 파일이라 그러면서 캐릭터를 불러올 수 없네요. 혹시 이거 복구 가능한가요? 제발 복구 좀 해 주셨으면 좋겠어요.,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('Bubble Shooter',)","('Bubble Shooter',)"
605,17284.0,Terraria, 정말로 재밌는 게임이고 사람들과 같이할 수도 있고 야생에서 아이템을 모으며 살아가면서 아이템을 만들어 나가는 게임이어서 좋습니다 그런데 테라리아1.3버전을 최대한 빨리 업데이트 해주시면 정말 감사합니다 그런데 1.3업데이트 하면 맵들 다 삭제되는 거 아니죠???.. ㅋ,"[0.106636085, 0.14753701, 0.14386314, 0.09965879, 0.23070359, 0.15863857, 0.112962864]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
606,17285.0,Terraria, 제작자님  안녕하세요?  저는  김재규입니다.   테라리아   이 게임은   진짜  재미있어요.  근데   궁금한  점은  모바일  게임  테라 리비아는    멀티플레이어  호스트를   키면   와이파이가   똑같은   사람하고  같이  멀티플레이를   할 수 있어요?   답변  꼭꼭   부탁합니다,"[0.10193192, 0.14251676, 0.15739524, 0.09524779, 0.24186699, 0.15268576, 0.10835554]","('Civilization Revolution 2',)","('Civilization Revolution 2',)"
607,17286.0,Terraria, 업데이트 언제 하나요.?? 정말 하고 싶습니다. 새로운 거 빨리 나왔으면 좋겠어요. 부탁드립니다... 아 근데 저 영어 판 됐는데 한글로 하는 방법 없나요.... 삭제는 안돼요.... 다시 깔고 한 거잖아요ㅜㅜ 힘들게 모은 건데ㅜㅜ ㅎㅎ 업데이트해주세요. 하면 오류가 없어질 듯 ㅋㅋㅎㅎ,"[0.10661558, 0.14754736, 0.14386652, 0.09967777, 0.21083884, 0.17847972, 0.11297424]","('Cluedo',)","('Cluedo',)"
608,17287.0,Terraria, 안녕하세요. 테라 아리아를 즐기고 있는 유저입니다. 클라우드 맵 저장에 문제가 있어 말씀드립니다. 캐릭터는 저장이 아주 잘 되는데 맵은 저장을 누르면 계속해서 튕깁니다. 현재 5달 가까이 저장을 못하고 있습니다. 빨리 고쳐주시면 감사하겠습니다.,"[0.105972335, 0.18780379, 0.14381573, 0.099023245, 0.1919963, 0.15873802, 0.11265058]","('Bubble Shooter',)","('Bubble Shooter',)"
609,17288.0,Terraria,님들아 이거 보세요 테라 리비아가 업데이트 되면 클라우드 캐릭터 사라지는 버그가 있음. 클라우드는 폰 기종 바꾸거나 할 때 써서 탬 이동시킬 때만 쓰세요. 제작자가 그러라고 클라우드 만드거임.그니깐 결론은 그냥 캐릭터 키우다가 나중에 폰 바꿀 때 그 떼 탬 이동용으로 클라우드쓰샘.글고 제작자님 튕기는 거 수정해주셔서 감사합니다,"[0.09140475, 0.14023277, 0.12176567, 0.22337362, 0.19304998, 0.13401592, 0.09615728]","('Angry Birds Classic',)","('Angry Birds Classic',)"
610,17289.0,Terraria, 역시 오류리 아야 아니 오류 좀 고치라고 일 안 해? 헬멧 상자에 넣었다니 갑자기 사라지네? 백업해 놓은 거 있어서 그걸로 해도 안 되네? 그리고 아이템 섞이는 버그 좀 고치라고 검이랑 낚싯대 앝은 인벤토리에 두기만 하면 섞여서 버려야 되잖아 제발 좀 쳐고쳐 노 답들아,"[0.10876159, 0.15049827, 0.14675176, 0.10168354, 0.1949173, 0.16182725, 0.13556029]","('Angry Birds Rio',)","('Angry Birds Rio',)"
611,17720.0,The Room Three,1.2에 이어 최고네요 추석이나 크리스마스 때 세일할 거 같아서 위시리스트에 올려두고 기다렸던 보람이 있네요! 1.2편 하신 분들이라면 헤매지 않고 할 수 있을 난이도이지만 노멀 엔딩 깨고 나서부터 헤매는 나는 뭐지 ㅋㅋ 새로운 엔딩 하려는데 막힙니다. 왜 중앙 추는 움직이지 않을까요. 여하튼 다룸 천재들이 만든 게임!,"[0.10193366, 0.18063647, 0.1764578, 0.09524944, 0.18467782, 0.15268768, 0.10835715]","('Bloons TD 5',)","('Bloons TD 5',)"
612,17721.0,The Room Three," 이거 엔딩이 4가지 버전인 것 같은데 맞나요? 5시간 47분 걸렸네요ㅠㅠ1,2보다 훨씬 어려워졌고 방이 연결되어 있어서 그거 왔다 갔다 하는 시간이 많이 걸리네요. 한글판 안 나와서 스토리는 100프로 이해 못 했지만 역시 고퀄입니다!!! 4도 나왔으면~~~","[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('Block Puzzle',)","('Block Puzzle',)"
613,17722.0,The Room Three,뭐라 해야 이 게임을 표현할 수 있을까 한편의 영화네요 ....  돈이 전혀 안 아까움 거의 끝나갈 때는 끝나면 뭐하나 걱정하면서 진행했네요 .. 빨리 다음 거도 나왔으면 좋겠어요,"[0.10719227, 0.14686775, 0.14383534, 0.12044801, 0.19012295, 0.17830443, 0.11322927]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
614,17723.0,The Room Three," 왜 한국어 지원 안 해주나요?.... 1,2둘 다 구매하고 재밌게 했는데... 서운하네요. 하지만 3도 재밌습니다. 여러분 후회하지 않을 선택입니다.ㅋㅋㅋ 아니 이거 이상한 후기네. 이전 시리즈처럼 아시아도 지원해 주셨으면 좋겠어요.","[0.16221344, 0.1452866, 0.14102098, 0.097099, 0.1882652, 0.15565327, 0.11046149]","('Color Road',)","('Color Road',)"
615,17724.0,The Room Three,"여전히 명작 더 룸 1,2에 이어 세 번째 시리즈도 여전히 명작임에 분명하네요. 멀티 엔딩 시스템도 재미있고요. 하지만 첫 엔딩 이후 이방 저방을 떠돌아다니며 퍼즐을 풀어 나머지 세 개의 멀티 엔딩에 도달 아야 하는 과정이 살짝 지루합니다. 첫 엔딩 이후론 퍼즐 퍼포먼스를 스킵 하는 기능이 있었으면 합니다. 아니면 멀티 엔딩에 따라 퍼즐 전개를 달리했으면 해요. 인디게임임에도 불구하고 기괴하면서 미스터리한 분위기, 호기심과 신비감을 북돋는 내용, 독특한 발상을 지닌 퍼즐들과 난이도까지 최고의 게임입니다.","[0.10193229, 0.180644, 0.13833281, 0.13337252, 0.18467636, 0.15268616, 0.10835587]","('Bloons TD 5',)","('Bloons TD 5',)"
616,17725.0,The Room Three," 뭔가 실마리가 더 남았는데 엔딩이어서 당황했는데, 다른 엔딩이 또 있었네요. 허허... 어쩐지 전 작품들보다 비싸더라니... 다른 엔딩도 깨 봐야겠어요. 진짜 재밌어요!","[0.10450505, 0.14466943, 0.16050334, 0.11730891, 0.20672911, 0.15553685, 0.110747315]","('Angry Birds Rio',)","('Angry Birds Rio',)"
617,17726.0,The Room Three,할 말 잃음 튜토리얼도 다 진행 안 했는데 지리고 평점 주러 옴 저 원래 이런 거 쓰는 사람이 아닙니다,"[0.10653741, 0.14750424, 0.14382474, 0.13963507, 0.19102217, 0.15856373, 0.11291264]","('Angry Birds Classic',)","('Angry Birds Classic',)"
618,17727.0,The Room Three, 모든 엔딩을 보기까지 6시간 반이 걸렸습니다. 공략을 보신다면 더 짧아질 수도 있겠지만 어찌 됐든 4천 원 정도를 투자할 가치는 차고도 넘칩니다.,"[0.10193231, 0.1425171, 0.17645763, 0.09524817, 0.20374049, 0.17174841, 0.1083559]","('Angry Birds Classic',)","('Angry Birds Classic',)"
619,17728.0,The Room Three,말이 필요 없음. 1편 해보고 연달아 3편까지 했네요. 게임과 영화를 동시에 즐기는듯한 정말 멋있기까지 한 게임임 돈 한 개도 안 아까워요. 더 있으면 계속했을 겁니다 ㅎ 소장 가치도 100% 고 그냥 한번 믿고 해보세요 ㅋㅋㅋ 1편부터 쭉 이어서 하는 자신을 보게 될 거임,"[0.14560838, 0.14816621, 0.14381605, 0.09902353, 0.19199663, 0.15873834, 0.112650864]","('Bubble Shooter',)","('Bubble Shooter',)"
620,17729.0,The Room Three," 최고입니다! 먼저 그래픽에 반하고, 컨트롤에 반하고~ 스토리가 있기도 때론 전혀 상관없이 진행되기도 했는데.. 진짜 게임하는 동안 몰입해서 했습니다","[0.10811493, 0.15116176, 0.16694391, 0.101025335, 0.19587834, 0.16194752, 0.11492823]","('Age of Civilizations II',)","('Age of Civilizations II',)"
621,18292.0,The Room Two, 캐릭터 하나 얻으려고 수만 원을 써야 하는 창렬 한 가챠로 가득한 게임보다 저렴한 가격으로 완결된 게임을 즐기는 것이 당신의 즐거움을 위한 선택이다. 현질 유도 게임보다 훨씬 플레이 경험도 뛰어나다.,"[0.10597237, 0.16798544, 0.14381577, 0.099023275, 0.21181446, 0.15873805, 0.11265062]","('Civilization Revolution 2',)","('Civilization Revolution 2',)"
622,18293.0,The Room Two,그럭저럭 퍼즐 좋아하면 재밌게 할 듯. 그래픽에 눈 호강합니다ㅠ 중간중간 무서운 장면도 있긴 한데 그럭저럭할 만해요.  하지만 5단계가 끝이라 너무 서둘러 하다가는 돈 아까울 수 있음. 그래도 단계마다 시간이 좀 걸리니 돈 값어치만큼은 하네요,"[0.10601511, 0.16772933, 0.14385803, 0.099061206, 0.1920394, 0.15878277, 0.13251415]","(""Assassin's Creed Rebellion"",)","(""Assassin's Creed Rebellion"",)"
623,18294.0,The Room Two,재밌어요! 한국어로 번역 안된 게 좀 아쉽긴 하지만ㅋㅋㅋㅋ대충 다 알아먹겠더라고요.. ᄒᄒ 이제 3 사러 갑니다,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('Cluedo',)","('Cluedo',)"
624,18295.0,The Room Two,재밌어요. 1편 해보다가 3편까지 결제해서 다 엔딩 봤어요. 요번에 ios는 2까지 한글화됐던데 안드도 빨리 됐으면 좋겠어요. 정말 재밌습니다.,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
625,18296.0,The Room Two,2천 원으로 피시방 가서 오버워치 두 시간 할 바엔 이거 하나 사서 사고력 기르는 게 100배는 더 좋네.............. 팔로 떠납니다,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
626,18297.0,The Room Two,한글판도 룸은 다시 구매해야 되는 건가요?? 예전에 이거 영문판 너 룸을 돈 주고받았었는데 한글판 나왔다길래 뭐 그냥 한글판 되겠지 했는데 안 되는 거 같은데... 한글판 너 룸은 다시 돈을 주고받아야 하는 건가요??,"[0.101933025, 0.1806357, 0.15739773, 0.09524883, 0.20374113, 0.15268698, 0.10835656]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
627,18298.0,The Room Two,역시나 다룸 1 때랑 달라진 게 있다면 더 깨야 할 게 많아짐 그리고 아쉬운 점은 힌트가 영어...ㅠㅠ 1은 한국어였는데 2에서는 한국어 지원이 안됨 마지막은 영화급 퀄리티 굳굳,"[0.12914132, 0.15048942, 0.14674091, 0.101673506, 0.19490613, 0.16181536, 0.11523338]","('Civilization Revolution 2',)","('Civilization Revolution 2',)"
628,18299.0,The Room Two,방금 엔딩 봤어요 아... 아직도 가슴이 뛰는 것 같아요 정말 시간 가는 줄 모르고 푹 빠져서 두근두근하며 즐겼습니다 진짜 재밌어요! 이제 3 시작해야지,"[0.108118236, 0.15116455, 0.14672704, 0.12122581, 0.19588184, 0.16195123, 0.114931315]","('Civilization Revolution 2',)","('Civilization Revolution 2',)"
629,18300.0,The Room Two,고퀄리티 퍼즐 게임 짜임새 있는 구성에 훌륭한 연출! 한글판이 빨리 나왔으면 좋겠네요~,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('Bubble Shooter',)","('Bubble Shooter',)"
630,18301.0,The Room Two, 뼈다귀 나올 땐 심장이 좀 뛰더군요~하얗게 밤을 지새웠습니다 ㅎㅎㅎ 2017년 말에 하나 더 나온다던데,"[0.10811497, 0.1511618, 0.14672357, 0.10102537, 0.1958784, 0.16194758, 0.13514832]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
631,18964.0,The Room,"퀄리티 최고입니다. 참고로 한글판도 나왔는데 영문판이랑 결재 연동되지 않습니다.(즉, 새로 구매해야 한다는 얘기) 참고하세요.","[0.12579037, 0.14816608, 0.14381589, 0.09902339, 0.19199648, 0.15873818, 0.13246962]","('Angry Birds Rio',)","('Angry Birds Rio',)"
632,18965.0,The Room,This game is My first payed game and i love it! Thx u guys to mack this game and i'm going to play room 2 so cya,"[0.10433609, 0.14342964, 0.14026414, 0.097579874, 0.1857028, 0.21835965, 0.1103278]","('Bubble Shooter',)","('Bubble Shooter',)"
633,18966.0,The Room,버벅임 해결된 듯 굿!,"[0.10597244, 0.14816605, 0.14381586, 0.11884267, 0.19199643, 0.15873812, 0.13246843]","('Age of Civilizations II',)","('Age of Civilizations II',)"
634,18967.0,The Room, Magnificent!  Puzzle after puzzle!  It's just awesome!,"[0.11247607, 0.15359338, 0.15005372, 0.10441666, 0.19766682, 0.16426036, 0.11753299]","('Angry Birds Rio',)","('Angry Birds Rio',)"
635,18968.0,The Room," So addictive, abt to buy Room 2","[0.10391302, 0.14528659, 0.16045459, 0.09709897, 0.18826517, 0.19452024, 0.110461466]","('Bubble Shooter',)","('Bubble Shooter',)"
636,18969.0,The Room, 긴박한 게임!,"[0.11103462, 0.15360235, 0.14979649, 0.10380967, 0.1989348, 0.16518071, 0.11764136]","('Age of Civilizations II',)","('Age of Civilizations II',)"
637,18970.0,The Room,재밌네요 재밌어요,"[0.10880621, 0.15052795, 0.1467917, 0.101719126, 0.19495879, 0.16187161, 0.13532461]","('Bloons TD 5',)","('Bloons TD 5',)"
638,18971.0,The Room, 와.... 하나하나 해결해 나갈 때마 짜릿해요; 게임 진짜 잘 만들었다,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('Bloons TD 5',)","('Bloons TD 5',)"
639,18972.0,The Room,Too addictive Omg,"[0.12833329, 0.15116204, 0.14672388, 0.101025656, 0.19587871, 0.1619479, 0.114928536]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
640,18973.0,The Room, 돈이 안 아까울 만큼 재밌네요,"[0.10662865, 0.14755781, 0.14388013, 0.09968947, 0.23059659, 0.15866156, 0.112985805]","(""Assassin's Creed Rebellion"",)","(""Assassin's Creed Rebellion"",)"
641,19664.0,Tomb of the Mask, 게임 관련 리뷰를 적지 광고 때문에 별점 테러 당하네~ 별 한 개 준 사람들 보고 이 게임 안 하시면 진짜 후회합니다!! 광고 많은 거 인정합니다. 하지만 7~8초 기다리면 우측 상단에 x 표시 떠요. 그걸 왜 30초 동안 보고 계신 건가요ㅋ.. 그 광고로 부활도 할 수 있어서 전 너무 만족합니다. 광고가 싫으시면 와이파이나 데이터 끄시면 하나도 안 나와요. 모두 즐겜~!~!~!~! *빠른 업데이트 부탁드립니다.*,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('Bloons TD 5',)","('Bloons TD 5',)"
642,19665.0,Tomb of the Mask, 여러분 광고는 게임을 종료하고 와이파이나 데이터를 끄고 게임을 키면 광고 없이 게임 즐길 수 있습니다!!! 200단계까지 올 글하고 너무 재미있어서 리뷰 남겨요 :) 그리고 3일 체험 후에 자동 결제되는 형식이니까 제발 참고하시고 체험해주세요! 마스크는 스테이지 클리어에 거의 무관합니다!,"[0.10597254, 0.16798483, 0.14381596, 0.09902345, 0.21181422, 0.15873824, 0.112650774]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
643,19666.0,Tomb of the Mask," 정말 재밌게 하고 있어요! 진짜 짱잼입니다! 근데, 미션에 스토리 모드가 있던데, 그거는 어떻게 바꾸는 건가요? 200까지 다 깨고, 계속 탐구하고 있어요.. 어떻게 바꾸는지...ㅎㅎ 답장 부탁드려요","[0.10811496, 0.15116177, 0.14672357, 0.101025365, 0.19587839, 0.16194756, 0.1351484]","(""Assassin's Creed Rebellion"",)","(""Assassin's Creed Rebellion"",)"
644,19667.0,Tomb of the Mask,,"[0.10872781, 0.15057683, 0.14675476, 0.10163292, 0.19491845, 0.16182035, 0.13556889]","('Angry Birds Rio',)","('Angry Birds Rio',)"
645,19668.0,Tomb of the Mask, 제가 오늘 깔아봤는데 쉽게 만들어진 거 같습니다. 저처럼 초보자분들도 처음부터 고수? 중수? 가 될 수 있을 거 같네요. 다른 게임 초보자님들도 한번 해봐보면 좋을 거 같아요.,"[0.10811585, 0.15116252, 0.14672452, 0.10102622, 0.19587934, 0.16194856, 0.13514298]","('Cluedo',)","('Cluedo',)"
646,19669.0,Tomb of the Mask, 너무 재밌었어요! 200백 스테이지 다 깨서 이것만 남기고 지울려고요! 그리고 아쉬운 점은.. 광고가 너무 많이 나오는 것? 그래서 와파 끄고 했거든요.. 그것만 빼면 괜춘..하하,"[0.1059722, 0.14816584, 0.14381559, 0.09902312, 0.19199617, 0.19837661, 0.11265046]","('Angry Birds Classic',)","('Angry Birds Classic',)"
647,19670.0,Tomb of the Mask, 재밌어요ㅠㅠ 근데 가능하면 빠른 업데이트 부탁드려요. 심심할 때 가끔 이 게임 들어가서 하고 있거든요? 근데 다해버려서 이젠 할 게 없네요ㅠ 힘드시겠지만 부탁해요.,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('Bubble Shooter',)","('Bubble Shooter',)"
648,19671.0,Tomb of the Mask, 한 번씩 죽는 것과 광고 때문에 짜증 나지만 아주 재밌고 신나는 게임입니다. 이 좋고 재밌고 신나는 게임 만들어주셔서 정말 정말 감사드립니다. 이 게임 만드시느라 많이 힘들고 머리 아플 텐데.... 제일은 아니지만 저이들을 위해 ㅠㅠ 흑흑흑흑흑 다시 말하지만 정말 정말 감사드리고 줘 손해용 ㅠㅠ,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
649,19672.0,Tomb of the Mask, 정말 게임성도 좋고 재미있는 게임인 것 같습니다. 여기 말해도 안될 것 같지만 다만 아쉬운 점이 있다면 스테이지가 너무 부족합니다... 며칠 재미 들여서 했더니 금방 깨버렸네요. 업데이트 기대합니다!,"[0.12833284, 0.1511621, 0.14672396, 0.10102572, 0.19587879, 0.16194798, 0.11492862]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
650,19673.0,Tomb of the Mask, 게임 시작 때 나오는 무료체험 어쩌고~ 그거 그냥 된 거 같은데 저도 3일 뒤 유료로 되는 건가요? 취소하고 싶은데 설정에도 없고.. 어디서 취소해요? 다른 분들처럼 자동 결제될까 봐 무섭네요,"[0.11103373, 0.1536022, 0.1497967, 0.10381074, 0.19893485, 0.16518037, 0.11764142]","(""Assassin's Creed Rebellion"",)","(""Assassin's Creed Rebellion"",)"
651,19814.0,Toon Blast, 재미있고 도전 성취감 있어요,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('Bubble Shooter',)","('Bubble Shooter',)"
652,19815.0,Toon Blast, 참 재미남,"[0.1278304, 0.15123332, 0.14681318, 0.10110594, 0.19596805, 0.16204198, 0.11500713]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
653,19816.0,Toon Blast, 고퀄 게임입니다. 대박.,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('Age of Civilizations II',)","('Age of Civilizations II',)"
654,19817.0,Toon Blast, GOOD,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
655,19818.0,Toon Blast, 👍,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
656,19819.0,Toon Blast, 좋아요,"[0.10811496, 0.15116177, 0.14672355, 0.101025365, 0.19587839, 0.18216774, 0.11492826]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
657,19820.0,Toon Blast, 진짜 진짜 진짜 너무 재밌는데 혹시 곰돌이 터치 5개 남았을 때 표정 안 좋아지는 거 차라리 응원하는 모습이면 좋을 거 같긴 해요.. '어떡할 거야 너 이제 못해' 하는 거 같아서 너무 기분나빠ㅋㅋㅋㅋㅋㅋㅋㅋㅠㅠ,"[0.111034594, 0.15360233, 0.14979646, 0.10380972, 0.1989348, 0.16518065, 0.11764144]","('Civilization Revolution 2',)","('Civilization Revolution 2',)"
658,19821.0,Toon Blast, 오프라인으로 할 수 있다니ㅠㅠ)bb 게임 방식은 한 번 클리어하면 다시 못하고 바로 다음 레벨로 넘어감. 월드 서버에 세계인들과 경쟁도 함. 길드? 클럽? 도 있으니 모두와 함께 튼 블래스트~,"[0.108115055, 0.15116186, 0.16694318, 0.101025455, 0.19587848, 0.16194765, 0.11492835]","('Bloons TD 5',)","('Bloons TD 5',)"
659,19822.0,Toon Blast, 광고 보고 처음에는 재미없을 줄 알았는데 해보니까 너무 재미있어 가지고 우리 가족들한테 소계 해 줬어요,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('Cluedo',)","('Cluedo',)"
660,19823.0,Toon Blast, 재밌어요. 깰수록. 근데 하트를 좀 더 주세요 ㅠㅠ,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
661,20489.0,True Skate, omsi 2 님 재미없다고 환불해달라는 게 말이 돼요?,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
662,20490.0,True Skate, 너무 재밌네요ㅎㅎ 돈 주고 산 의미가 있는 거 같아요ㅎ,"[0.16220708, 0.14528751, 0.14102212, 0.09710001, 0.18826634, 0.15565446, 0.11046249]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
663,20491.0,True Skate, It's very funny. It's very controlled.,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('Bloons TD 5',)","('Bloons TD 5',)"
664,20492.0,True Skate, 맵 일부분만 다는 안 원하는데 일부분만 맵 그 게임 돈으로 좀 바꿔주세요,"[0.10811536, 0.15116213, 0.1669413, 0.10102575, 0.1958788, 0.16194801, 0.11492863]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
